pattern,class,disposition
"solver.*(not|may not|did not).*converg|may not have successfully converged",solver-nonconvergence,recorded-review
"optimizer may not have found a good solution|optimizer may not have successfully|Calibration routine may not have converged",calibration-fit,recorded-review
"outside share is close to|Normalizing relative to largest good",boundary-normalization,recorded-review
"Hessian.*(positive definite|maximize profits)",second-order-condition,recorded-review
"nest.*(not identified|singleton)",unidentified-nest,recorded-review
"Defaulting to|Setting .* equal to|does not contain either",default-assumption,recorded-review
"is only used for BLP|are not used for BLP|Ignoring",ignored-input,recorded-review
"positive values of 'mcDelta'|Negative .*marginal costs|intercepts are negative|own-slope coefficients are positive|Matrix of demand slopes coefficients is not symmetric",economic-input,recorded-review
"utilization equal capacity|utilization is greater than capacity",capacity-boundary,recorded-review
"Reporting shares instead of quantities|Calculating CV as|calcQuantities.*yielded all NAs|normalized shares instead of quantities",diagnostic-fallback,recorded-review
"ownerPost.*ownerPre.*same",no-merger-identity,recorded-review
