"kind","name","signature","status","evidence","exclusion_reason"
"export","aids","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calibrate","","formal-test","tests/testthat/test-model-architecture.R",""
"export","counterfactual","","formal-test","tests/testthat/test-counterfactual.R",""
"export","combine_counterfactuals","","formal-test","tests/testthat/test-counterfactual.R",""
"export","respecify","","formal-test","tests/testthat/test-model-architecture.R",""
"export","antitrust_shiny","","documented-exclusion","ai/package_audit/audit_report.md","Interactive optional UI; exercised by R CMD check examples when available."
"export","auction2nd.cap","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","auction2nd.ces","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","auction2nd.ces.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","auction2nd.logit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","auction2nd.logit.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","auction2nd.logit.nests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining.ces","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining.ces.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining.logit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining.logit.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining2nd.ces","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bargaining2nd.logit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","bertrand.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcBuyerExpectedCost","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcBuyerValuation","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcDiagnostics","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcdMC","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcExpectedLowestCost","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcExpectedPrice","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcMargins","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcMarginsAG","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcMC","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcOptimalReserve","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
